"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","STATE_NAME","COUNTY_NAME","ARPT_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","ICAO_ID","facility_use"
"2026/09/03","17094.2","A","NC","22NC","SILER CITY","US","NORTH CAROLINA","CHATHAM","FLINT RIDGE",35,49,16,"N",35.82111111,79,28,6,"W",-79.46833333,650,"E",7,"W",1995,"","private"
"2026/09/03","17097.","A","NC","NC73","SLADESVILLE","US","NORTH CAROLINA","HYDE","HODGES FARM",35,26,19.599,"N",35.4387775,76,26,57.728,"W",-76.44936888,6,"S",9,"W",1985,"","private"
"2026/09/03","17101.","A","NC","JNX","SMITHFIELD","US","NORTH CAROLINA","JOHNSTON","JOHNSTON RGNL",35,32,27.377,"N",35.54093805,78,23,25.172,"W",-78.39032555,164,"S",9,"W",2000,"KJNX","public"
"2026/09/03","17101.01","H","NC","NC23","SMITHFIELD","US","NORTH CAROLINA","JOHNSTON","JOHNSTON MEML HOSPITAL",35,30,56.3,"N",35.51563888,78,20,0.47,"W",-78.33346388,140,"E",10,"W",2025,"","private"
"2026/09/03","17110.11","H","NC","11NR","SOUTHPORT","US","NORTH CAROLINA","ALAMANCE","DOSHER",33,55,41.1,"N",33.92808333,78,1,13.4,"W",-78.02038888,19,"E",NA,"",NA,"","private"
"2026/09/03","17110.2","H","NC","NR15","SOUTHPORT","US","NORTH CAROLINA","ALAMANCE","BRUNSWICK NUCLEAR PLANT HELIPAD",33,57,12.273,"N",33.95340916,78,0,44.621,"W",-78.01239472,13,"E",NA,"",NA,"","private"
"2026/09/03","17118.","A","NC","3NC7","SPARTA","US","NORTH CAROLINA","ALLEGHANY","MAXWELL",36,31,9.463,"N",36.51929527,81,8,12.312,"W",-81.13675333,3050,"E",5,"W",1984,"","private"
"2026/09/03","17124.2","A","NC","42NC","SPRING HOPE","US","NORTH CAROLINA","FRANKLIN","SPRING PATHS",35,57,28,"N",35.95777777,78,10,14,"W",-78.17055555,290,"E",8,"W",1995,"","private"
"2026/09/03","17128.","A","NC","7A8","SPRUCE PINE","US","NORTH CAROLINA","AVERY","AVERY COUNTY/MORRISON FLD",35,56,43.3,"N",35.94536111,81,59,46.4,"W",-81.99622222,2745.2,"S",6,"W",2005,"","public"
"2026/09/03","17128.01","H","NC","73NR","SPRUCE PINE","US","NORTH CAROLINA","MITCHELL","BLUE RIDGE RGNL HOSPITAL",35,54,38.36,"N",35.91065555,82,3,41.75,"W",-82.06159722,2641.7,"E",NA,"",NA,"","private"
"2026/09/03","17139.","A","NC","43A","STAR","US","NORTH CAROLINA","MONTGOMERY","MONTGOMERY COUNTY",35,23,4.739,"N",35.38464972,79,47,24.959,"W",-79.79026638,632.5,"S",6,"W",1985,"","public"
"2026/09/03","17142.","A","NC","SVH","STATESVILLE","US","NORTH CAROLINA","IREDELL","STATESVILLE RGNL",35,45,53.988,"N",35.76499666,80,57,14.04,"W",-80.9539,967.8,"S",8,"W",2015,"KSVH","public"
"2026/09/03","17142.01","A","NC","NC09","STATESVILLE","US","NORTH CAROLINA","IREDELL","STONERIVER",35,53,3.27,"N",35.88424166,80,46,21.95,"W",-80.77276388,820,"E",NA,"",NA,"","private"
"2026/09/03","17142.02","H","NC","22NA","STATESVILLE","US","NORTH CAROLINA","IREDELL","DAVIS RGNL",35,49,6.3,"N",35.81841666,80,49,49.5,"W",-80.83041666,865,"E",NA,"",NA,"","private"
"2026/09/03","17142.1","A","NC","NC15","STATESVILLE","US","NORTH CAROLINA","IREDELL","RAEFORD RHYNE AIRPARK",35,57,25.479,"N",35.9570775,80,58,44.274,"W",-80.978965,1140,"E",5,"W",1985,"","private"
